"cardURL","companyName","countryWebsite","description","detail","pagesViewed","timesViewed","numberOfPeople","date","timesClicked"
"/discover/account/detail/6c1a2f8e185cd93/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","The Alan Group","United States - tag-search.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/about/",1,1,1,"Jul 17, 2023",
"/discover/account/detail/6c1a2f8e185cd93/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","The Alan Group","United States - tag-search.com","1 page clicked a total of 2 times by 1 Anonymous user","https://tenovos.com/about/",1,,1,"Jul 17, 2023",2
