"cardURL","companyName","countryWebsite","description","detail","pagesViewed","timesViewed","numberOfPeople","date","keywordsResearched","timesResearched","timesClicked"
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","1 keyword researched a total of 2 times by 1 anonymous user","marketing performance",,,1,"May 22, 2023",1,2,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","1 keyword researched a total of 1 time by 1 anonymous user","pim",,,1,"May 20, 2023",1,1,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","5 pages viewed a total of 17 times by 1 Anonymous user","https://tenovos.com/resources/, https://tenovos.com/, https://tenovos.com/creative-operations-new-york-2023/, https://tenovos.com/about/, https://tenovos.com/why/",5,17,1,"May 18, 2023",,,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","5 pages clicked a total of 13 times by 1 Anonymous user","https://tenovos.com/about/, https://tenovos.com/why/, https://tenovos.com/about/#investors, https://tenovos.com/, https://tenovos.com/resources/",5,,1,"May 18, 2023",,,13
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","2 pages viewed a total of 2 times by 1 Anonymous user","https://tenovos.com/, https://tenovos.com/why/",2,2,1,"May 17, 2023",,,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","2 pages clicked a total of 3 times by 1 Anonymous user","https://tenovos.com/why/, https://tenovos.com/",2,,1,"May 17, 2023",,,3
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","3 pages viewed a total of 4 times by 1 Anonymous user","https://tenovos.com/why/, https://tenovos.com/, https://tenovos.com/about/",3,4,1,"May 16, 2023",,,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","3 pages clicked a total of 6 times by 1 Anonymous user","https://tenovos.com/, https://tenovos.com/why/, https://tenovos.com/about/",3,,1,"May 16, 2023",,,6
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",,,1,"May 16, 2023",1,1,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",,,1,"May 11, 2023",1,1,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","2 keywords researched a total of 7 times by 2 anonymous users","widen, workflow automation",,,2,"May 4, 2023",2,7,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","1 keyword researched a total of 3 times by 1 anonymous user","brand integrity",,,1,"May 3, 2023",1,3,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","1 keyword researched a total of 5 times by 1 anonymous user","canto",,,1,"May 2, 2023",1,5,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","2 keywords researched a total of 2 times by 1 anonymous user","workflow automation, marketing performance",,,1,"May 1, 2023",2,2,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","2 keywords researched a total of 3 times by 2 anonymous users","workflow automation, content hub",,,2,"Apr 29, 2023",2,3,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","1 keyword researched a total of 2 times by 1 anonymous user","workflow automation",,,1,"Apr 28, 2023",1,2,
