"cardURL","companyName","countryWebsite","description","detail","pagesViewed","timesViewed","numberOfPeople","date","timesClicked","keywordsResearched","timesResearched","impressions","campaigns"
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","2 pages viewed a total of 3 times by 1 Anonymous user","https://tenovos.com/about/, https://tenovos.com/tenovos-partner-network/",2,3,1,"Jul 11, 2023",,,,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","2 pages clicked a total of 5 times by 1 Anonymous user","https://tenovos.com/about/, https://tenovos.com/tenovos-partner-network/",2,,1,"Jul 11, 2023",5,,,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","2 keywords researched a total of 5 times by 2 anonymous users","smartsheet, taxonomy",,,2,"Jul 11, 2023",,2,5,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",,,1,"Jul 10, 2023",,1,1,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","2 keywords researched a total of 6 times by 2 anonymous users","Informatica, taxonomy",,,2,"Jul 5, 2023",,2,6,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",,,1,"Jul 4, 2023",,1,1,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","1 keyword researched a total of 2 times by 1 anonymous user","dam new york",,,1,"Jul 1, 2023",,1,2,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",,,1,"Jun 30, 2023",,1,1,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",,,1,"Jun 29, 2023",,1,1,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",,,1,"Jun 28, 2023",,1,1,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",,,1,"Jun 27, 2023",,1,1,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","2 keywords researched a total of 7 times by 5 anonymous users","dam europe, marketing performance",,,5,"Jun 26, 2023",,2,7,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",,,1,"Jun 24, 2023",,1,2,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","3 pages viewed a total of 3 times by 1 Anonymous user","https://tenovos.com/resources/webinars/the-impact-of-ai-on-digital-asset-management-key-skills-for-dam-managers-to-stay-competitive/, https://tenovos.com/resources/webinars/, https://tenovos.com/resources/webinars/the-role-of-automation-in-dam-how-to-maximize-your-resources-and-output/",3,3,1,"Jun 22, 2023",,,,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","1 page clicked a total of 4 times by 1 Anonymous user","https://tenovos.com/resources/webinars/",1,,1,"Jun 22, 2023",4,,,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","3 keywords researched a total of 6 times by 5 anonymous users","widen, sitecore, product information management",,,5,"Jun 22, 2023",,3,6,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","4 keywords researched a total of 8 times by 3 anonymous users","informatica pim, product information management, marketing performance, digital asset management",,,3,"Jun 21, 2023",,4,8,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","2 keywords researched a total of 5 times by 2 anonymous users","product information management, smartsheet",,,2,"Jun 20, 2023",,2,5,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","2 keywords researched a total of 2 times by 1 anonymous user","product information management, informatica pim",,,1,"Jun 19, 2023",,2,2,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","1 keyword researched a total of 3 times by 1 anonymous user","aem",,,1,"Jun 18, 2023",,1,3,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","2 keywords researched a total of 2 times by 2 anonymous users","taxonomy, digital asset management",,,2,"Jun 16, 2023",,2,2,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","9 pages viewed a total of 9 times by 1 Anonymous user","https://tenovos.com/resources/blog/ai-digital-asset-management/, https://tenovos.com/customers/, https://tenovos.com/resources/blog/, https://tenovos.com/platform/story-management/, https://tenovos.com/resources/#guides, https://tenovos.com/platform/story-activation/, https://tenovos.com/, https://tenovos.com/resources/blog/lesser-known-dam-features/, https://tenovos.com/resources/#tools",9,9,1,"Jun 15, 2023",,,,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","3 pages clicked a total of 10 times by 1 Anonymous user","https://tenovos.com/platform/story-management/, https://tenovos.com/resources/blog/, https://tenovos.com/",3,,1,"Jun 15, 2023",10,,,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","2 keywords researched a total of 9 times by 2 anonymous users","taxonomy, marketing performance",,,2,"Jun 15, 2023",,2,9,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","3 keywords researched a total of 10 times by 4 anonymous users","marketing performance, digital asset management, content hub",,,4,"Jun 14, 2023",,3,10,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","1 keyword researched a total of 2 times by 1 anonymous user","pim",,,1,"Jun 13, 2023",,1,2,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,1,1,"Jun 12, 2023",,,,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","2 keywords researched a total of 6 times by 2 anonymous users","canto, workflow automation",,,2,"Jun 12, 2023",,2,6,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","2 keywords researched a total of 3 times by 2 anonymous users","content hub, content delivery network",,,2,"Jun 10, 2023",,2,3,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","5 keywords researched a total of 10 times by 4 anonymous users","aem, canto, digital asset management system, digital asset management, content intelligence",,,4,"Jun 9, 2023",,5,10,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","2 keywords researched a total of 2 times by 2 anonymous users","widen, taxonomy",,,2,"Jun 8, 2023",,2,2,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","2 keywords researched a total of 3 times by 2 anonymous users","widen, taxonomy",,,2,"Jun 7, 2023",,2,3,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","1 keyword researched a total of 2 times by 1 anonymous user","dam europe",,,1,"Jun 6, 2023",,1,2,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","2 keywords researched a total of 2 times by 2 anonymous users","smartsheet, taxonomy",,,2,"Jun 2, 2023",,2,2,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","2 keywords researched a total of 2 times by 2 anonymous users","widen, content hub",,,2,"Jun 1, 2023",,2,2,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","2 pages viewed a total of 2 times by 1 Anonymous user","https://tenovos.com/, https://tenovos.com/forrester-wave-digital-asset-management-2022/",2,2,1,"May 30, 2023",,,,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","2 pages clicked a total of 3 times by 1 Anonymous user","https://tenovos.com/forrester-wave-digital-asset-management-2022/, https://tenovos.com/",2,,1,"May 30, 2023",3,,,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","1 keyword researched a total of 2 times by 1 anonymous user","digital asset management",,,1,"May 29, 2023",,1,2,,
"/discover/account/detail/d50b29759951e0d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Gap Inc","United States - gap.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",,,1,"May 27, 2023",,1,1,,
