"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed"
"/discover/account/detail/ab569179547d592/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","State Of Oregon","United States - state.or.us","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Aug 2, 2023",,
"/discover/account/detail/ab569179547d592/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","State Of Oregon","United States - state.or.us","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 30, 2023",,
"/discover/account/detail/ab569179547d592/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","State Of Oregon","United States - state.or.us","1 keyword researched a total of 3 times by 1 anonymous user","dam evaluation",1,3,1,"Jul 28, 2023",,
"/discover/account/detail/ab569179547d592/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","State Of Oregon","United States - state.or.us","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 27, 2023",,
"/discover/account/detail/ab569179547d592/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","State Of Oregon","United States - state.or.us","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",1,2,1,"Jul 26, 2023",,
"/discover/account/detail/ab569179547d592/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","State Of Oregon","United States - state.or.us","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",1,1,1,"Jul 21, 2023",,
"/discover/account/detail/ab569179547d592/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","State Of Oregon","United States - state.or.us","1 keyword researched a total of 2 times by 1 anonymous user","workflow automation",1,2,1,"Jul 19, 2023",,
"/discover/account/detail/ab569179547d592/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","State Of Oregon","United States - state.or.us","2 keywords researched a total of 5 times by 3 anonymous users","hyland, content hub",2,5,3,"Jul 18, 2023",,
"/discover/account/detail/ab569179547d592/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","State Of Oregon","United States - state.or.us","1 keyword researched a total of 3 times by 1 anonymous user","aem",1,3,1,"Jul 16, 2023",,
"/discover/account/detail/ab569179547d592/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","State Of Oregon","United States - state.or.us","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",,,1,"Jul 12, 2023",1,1
