"cardURL","companyName","countryWebsite","description","detail","pagesViewed","timesViewed","numberOfPeople","date"
"/discover/account/detail/290eff98fae0e96/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Golden Circle Ford Lincoln","United States - goldencircleford.com","1 page viewed a total of 4 times by 2 Anonymous users","https://tenovos.com/tenovos-vs-bynder/",1,4,2,"Jul 19, 2023"
"/discover/account/detail/290eff98fae0e96/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Golden Circle Ford Lincoln","United States - goldencircleford.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/tenovos-vs-bynder/",1,1,1,"Apr 26, 2023"
