"cardURL","companyName","countryWebsite","description","detail","pagesViewed","timesViewed","numberOfPeople","date","timesClicked"
"/discover/account/detail/136cdf94ad7d2c3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Unite Students","United Kingdom - unitestudents.com","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,,1,"May 16, 2023",1
"/discover/account/detail/136cdf94ad7d2c3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Unite Students","United Kingdom - unitestudents.com","4 pages viewed a total of 4 times by 2 Anonymous users","https://tenovos.com/, https://tenovos.com/resources/, https://tenovos.com/press/tenovos-unite-students/, https://tenovos.com/why/",4,4,2,"Apr 13, 2023",
"/discover/account/detail/136cdf94ad7d2c3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Unite Students","United Kingdom - unitestudents.com","3 pages clicked a total of 3 times by 1 Anonymous user","https://tenovos.com/, https://tenovos.com/resources/, https://tenovos.com/why/",3,,1,"Apr 13, 2023",3
"/discover/account/detail/136cdf94ad7d2c3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Unite Students","United Kingdom - unitestudents.com","2 pages viewed a total of 2 times by 2 Anonymous users","https://tenovos.com/about/, https://tenovos.com/",2,2,2,"Mar 30, 2023",
"/discover/account/detail/136cdf94ad7d2c3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Unite Students","United Kingdom - unitestudents.com","2 pages clicked a total of 2 times by 1 Anonymous user","https://tenovos.com/, https://tenovos.com/about/",2,,1,"Mar 30, 2023",2
"/discover/account/detail/136cdf94ad7d2c3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Unite Students","United Kingdom - unitestudents.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/about/",1,1,1,"Mar 13, 2023",
"/discover/account/detail/136cdf94ad7d2c3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Unite Students","United Kingdom - unitestudents.com","1 page viewed a total of 3 times by 3 Anonymous users","https://tenovos.com/",1,3,3,"Mar 1, 2023",
"/discover/account/detail/136cdf94ad7d2c3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Unite Students","United Kingdom - unitestudents.com","1 page clicked a total of 3 times by 3 Anonymous users","https://tenovos.com/",1,,3,"Mar 1, 2023",3
"/discover/account/detail/136cdf94ad7d2c3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Unite Students","United Kingdom - unitestudents.com","3 pages viewed a total of 4 times by 1 Anonymous user","https://tenovos.com/resources/blog/dam-system-users/, https://tenovos.com/platform/cloud-infrastructure/, https://tenovos.com/",3,4,1,"Feb 28, 2023",
"/discover/account/detail/136cdf94ad7d2c3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Unite Students","United Kingdom - unitestudents.com","4 pages viewed a total of 4 times by 2 Anonymous users","https://tenovos.com/why/, https://tenovos.com/demo/, https://tenovos.com/platform/cloud-infrastructure/, https://tenovos.com/about/#leadership",4,4,2,"Feb 21, 2023",
"/discover/account/detail/136cdf94ad7d2c3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Unite Students","United Kingdom - unitestudents.com","2 pages clicked a total of 5 times by 1 Anonymous user","https://tenovos.com/platform/cloud-infrastructure/, https://tenovos.com/demo/",2,,1,"Feb 21, 2023",5
"/discover/account/detail/136cdf94ad7d2c3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Unite Students","United Kingdom - unitestudents.com","2 pages viewed a total of 4 times by 1 Anonymous user","https://tenovos.com/, https://tenovos.com/about/",2,4,1,"Feb 20, 2023",
"/discover/account/detail/136cdf94ad7d2c3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Unite Students","United Kingdom - unitestudents.com","3 pages clicked a total of 6 times by 1 Anonymous user","https://tenovos.com/, https://tenovos.com/about/, https://tenovos.com/about/#leadership",3,,1,"Feb 20, 2023",6
"/discover/account/detail/136cdf94ad7d2c3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Unite Students","United Kingdom - unitestudents.com","2 pages viewed a total of 2 times by 1 Anonymous user","https://tenovos.com/, https://tenovos.com/about/#contacts",2,2,1,"Feb 7, 2023",
"/discover/account/detail/136cdf94ad7d2c3/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Unite Students","United Kingdom - unitestudents.com","2 pages clicked a total of 2 times by 1 Anonymous user","https://tenovos.com/about/#contacts, https://tenovos.com/",2,,1,"Feb 7, 2023",2
