"cardURL","companyName","countryWebsite","description","detail","pagesViewed","timesViewed","numberOfPeople","date","timesClicked","keywordsResearched","timesResearched","impressions","campaigns"
"/discover/account/detail/5983ab9aa479854/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","PricewaterhouseCoopers","United States - pwc.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,1,1,"Aug 2, 2023",,,,,
"/discover/account/detail/5983ab9aa479854/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","PricewaterhouseCoopers","United States - pwc.com","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,,1,"Aug 2, 2023",1,,,,
"/discover/account/detail/5983ab9aa479854/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","PricewaterhouseCoopers","United States - pwc.com","4 keywords researched a total of 49 times by 5 anonymous users","hyland, taxonomy, workflow automation, marketing performance",,,5,"Aug 2, 2023",,4,49,,
"/discover/account/detail/5983ab9aa479854/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","PricewaterhouseCoopers","United States - pwc.com","7 keywords researched a total of 10 times by 7 anonymous users","smartsheet, hyland, widen, workflow automation, content hub, taxonomy, intelligent content",,,7,"Aug 1, 2023",,7,10,,
"/discover/account/detail/5983ab9aa479854/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","PricewaterhouseCoopers","United States - pwc.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,1,1,"Jul 31, 2023",,,,,
"/discover/account/detail/5983ab9aa479854/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","PricewaterhouseCoopers","United States - pwc.com","1 page clicked a total of 2 times by 1 Anonymous user","https://tenovos.com/",1,,1,"Jul 31, 2023",2,,,,
"/discover/account/detail/5983ab9aa479854/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","PricewaterhouseCoopers","United States - pwc.com","5 keywords researched a total of 10 times by 4 anonymous users","Informatica, hyland, pim, product information management, marketing performance",,,4,"Jul 31, 2023",,5,10,,
"/discover/account/detail/5983ab9aa479854/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","PricewaterhouseCoopers","United States - pwc.com","2 keywords researched a total of 3 times by 3 anonymous users","sitecore, workflow automation",,,3,"Jul 30, 2023",,2,3,,
"/discover/account/detail/5983ab9aa479854/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","PricewaterhouseCoopers","United States - pwc.com","5 keywords researched a total of 10 times by 6 anonymous users","widen, Informatica, workflow automation, taxonomy, marketing performance",,,6,"Jul 29, 2023",,5,10,,
"/discover/account/detail/5983ab9aa479854/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","PricewaterhouseCoopers","United States - pwc.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,1,1,"Jul 28, 2023",,,,,
"/discover/account/detail/5983ab9aa479854/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","PricewaterhouseCoopers","United States - pwc.com","4 keywords researched a total of 7 times by 6 anonymous users","henry stewart, Informatica, content hub, marketing performance",,,6,"Jul 28, 2023",,4,7,,
"/discover/account/detail/5983ab9aa479854/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","PricewaterhouseCoopers","United States - pwc.com","4 keywords researched a total of 9 times by 6 anonymous users","story insights, sitecore, taxonomy, content hub",,,6,"Jul 27, 2023",,4,9,,
"/discover/account/detail/5983ab9aa479854/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","PricewaterhouseCoopers","United States - pwc.com","5 keywords researched a total of 35 times by 9 anonymous users","widen, marketing performance, taxonomy, content hub, digital asset management",,,9,"Jul 26, 2023",,5,35,,
"/discover/account/detail/5983ab9aa479854/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","PricewaterhouseCoopers","United States - pwc.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,1,1,"Jul 25, 2023",,,,,
"/discover/account/detail/5983ab9aa479854/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","PricewaterhouseCoopers","United States - pwc.com","2 keywords researched a total of 3 times by 2 anonymous users","smartsheet, content hub",,,2,"Jul 25, 2023",,2,3,,
"/discover/account/detail/5983ab9aa479854/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","PricewaterhouseCoopers","United States - pwc.com","7 keywords researched a total of 12 times by 8 anonymous users","hyland, Informatica, taxonomy, workflow automation, brand integrity, marketing performance, content hub",,,8,"Jul 24, 2023",,7,12,,
"/discover/account/detail/5983ab9aa479854/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","PricewaterhouseCoopers","United States - pwc.com","3 keywords researched a total of 6 times by 5 anonymous users","dam new york, content hub, digital asset management",,,5,"Jul 23, 2023",,3,6,,
"/discover/account/detail/5983ab9aa479854/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","PricewaterhouseCoopers","United States - pwc.com","2 keywords researched a total of 2 times by 2 anonymous users","workflow automation, taxonomy",,,2,"Jul 22, 2023",,2,2,,
"/discover/account/detail/5983ab9aa479854/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","PricewaterhouseCoopers","United States - pwc.com","3 keywords researched a total of 9 times by 5 anonymous users","Informatica, workflow automation, marketing performance",,,5,"Jul 21, 2023",,3,9,,
"/discover/account/detail/5983ab9aa479854/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","PricewaterhouseCoopers","United States - pwc.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,1,1,"Jul 20, 2023",,,,,
"/discover/account/detail/5983ab9aa479854/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","PricewaterhouseCoopers","United States - pwc.com","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,,1,"Jul 20, 2023",1,,,,
"/discover/account/detail/5983ab9aa479854/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","PricewaterhouseCoopers","United States - pwc.com","4 keywords researched a total of 5 times by 5 anonymous users","Informatica, taxonomy, content hub, marketing performance",,,5,"Jul 20, 2023",,4,5,,
"/discover/account/detail/5983ab9aa479854/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","PricewaterhouseCoopers","United States - pwc.com","3 pages viewed a total of 3 times by 2 Anonymous users","https://tenovos.com/tenovos-partner-network/, https://tenovos.com/, https://tenovos.com/platform/",3,3,2,"Jul 19, 2023",,,,,
"/discover/account/detail/5983ab9aa479854/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","PricewaterhouseCoopers","United States - pwc.com","2 pages clicked a total of 3 times by 1 Anonymous user","https://tenovos.com/, https://tenovos.com/tenovos-partner-network/",2,,1,"Jul 19, 2023",3,,,,
"/discover/account/detail/5983ab9aa479854/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","PricewaterhouseCoopers","United States - pwc.com","6 keywords researched a total of 11 times by 8 anonymous users","Informatica, hyland, marketing performance, workflow automation, content hub, digital asset management",,,8,"Jul 19, 2023",,6,11,,
"/discover/account/detail/5983ab9aa479854/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","PricewaterhouseCoopers","United States - pwc.com","5 keywords researched a total of 6 times by 6 anonymous users","hyland, widen, taxonomy, digital asset management, content hub",,,6,"Jul 18, 2023",,5,6,,
"/discover/account/detail/5983ab9aa479854/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","PricewaterhouseCoopers","United States - pwc.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/about/#contacts",1,1,1,"Jul 17, 2023",,,,,
"/discover/account/detail/5983ab9aa479854/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","PricewaterhouseCoopers","United States - pwc.com","3 keywords researched a total of 8 times by 5 anonymous users","Informatica, content hub, taxonomy",,,5,"Jul 17, 2023",,3,8,,
"/discover/account/detail/5983ab9aa479854/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","PricewaterhouseCoopers","United States - pwc.com","2 keywords researched a total of 4 times by 3 anonymous users","sitecore, content hub",,,3,"Jul 16, 2023",,2,4,,
"/discover/account/detail/5983ab9aa479854/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","PricewaterhouseCoopers","United States - pwc.com","4 keywords researched a total of 5 times by 5 anonymous users","Informatica, widen, taxonomy, marketing performance",,,5,"Jul 15, 2023",,4,5,,
"/discover/account/detail/5983ab9aa479854/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","PricewaterhouseCoopers","United States - pwc.com","5 keywords researched a total of 16 times by 12 anonymous users","widen, canto, best dam, digital asset management, content intelligence",,,12,"Jul 14, 2023",,5,16,,
"/discover/account/detail/5983ab9aa479854/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","PricewaterhouseCoopers","United States - pwc.com","4 pages viewed a total of 9 times by 7 Anonymous users","https://tenovos.com/, https://tenovos.com/msa/, https://tenovos.com/about/, https://tenovos.com/platform/",4,9,7,"Jul 13, 2023",,,,,
"/discover/account/detail/5983ab9aa479854/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","PricewaterhouseCoopers","United States - pwc.com","2 pages clicked a total of 10 times by 4 Anonymous users","https://tenovos.com/, https://tenovos.com/about/",2,,4,"Jul 13, 2023",10,,,,
"/discover/account/detail/5983ab9aa479854/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","PricewaterhouseCoopers","United States - pwc.com","8 keywords researched a total of 16 times by 10 anonymous users","aem training, aem, opentext, widen, marketing performance, taxonomy, best dam, content delivery network",,,10,"Jul 13, 2023",,8,16,,
"/discover/account/detail/5983ab9aa479854/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","PricewaterhouseCoopers","United States - pwc.com","7 keywords researched a total of 11 times by 9 anonymous users","widen, Stibo, canto, aem, workflow automation, taxonomy, marketing performance",,,9,"Jul 12, 2023",,7,11,,
"/discover/account/detail/5983ab9aa479854/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","PricewaterhouseCoopers","United States - pwc.com","7 keywords researched a total of 16 times by 13 anonymous users","hyland, canto, Informatica, content intelligence, dam manager, content hub, taxonomy",,,13,"Jul 11, 2023",,7,16,,
"/discover/account/detail/5983ab9aa479854/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","PricewaterhouseCoopers","United States - pwc.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/msa/",1,1,1,"Jul 10, 2023",,,,,
"/discover/account/detail/5983ab9aa479854/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","PricewaterhouseCoopers","United States - pwc.com","1 page clicked a total of 2 times by 1 Anonymous user","https://tenovos.com/msa/",1,,1,"Jul 10, 2023",2,,,,
"/discover/account/detail/5983ab9aa479854/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","PricewaterhouseCoopers","United States - pwc.com","3 keywords researched a total of 8 times by 4 anonymous users","brand collections, content hub, marketing performance",,,4,"Jul 10, 2023",,3,8,,
"/discover/account/detail/5983ab9aa479854/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","PricewaterhouseCoopers","United States - pwc.com","3 keywords researched a total of 8 times by 3 anonymous users","adobe aem, aem, taxonomy",,,3,"Jul 9, 2023",,3,8,,
"/discover/account/detail/5983ab9aa479854/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","PricewaterhouseCoopers","United States - pwc.com","2 keywords researched a total of 2 times by 2 anonymous users","hyland, marketing performance",,,2,"Jul 8, 2023",,2,2,,
