"cardURL","companyName","countryWebsite","description","detail","pagesViewed","timesViewed","numberOfPeople","date","keywordsResearched","timesResearched","timesClicked"
"/discover/account/detail/a981558f2193f53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Compassion International","United States - ci.org","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",,,1,"May 10, 2023",1,1,
"/discover/account/detail/a981558f2193f53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Compassion International","United States - ci.org","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",,,1,"May 8, 2023",1,1,
"/discover/account/detail/a981558f2193f53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Compassion International","United States - ci.org","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",,,1,"May 2, 2023",1,1,
"/discover/account/detail/a981558f2193f53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Compassion International","United States - ci.org","1 keyword researched a total of 1 time by 1 anonymous user","widen",,,1,"Apr 30, 2023",1,1,
"/discover/account/detail/a981558f2193f53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Compassion International","United States - ci.org","1 keyword researched a total of 4 times by 1 anonymous user","smartsheet",,,1,"Apr 26, 2023",1,4,
"/discover/account/detail/a981558f2193f53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Compassion International","United States - ci.org","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",,,1,"Apr 25, 2023",1,1,
"/discover/account/detail/a981558f2193f53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Compassion International","United States - ci.org","1 keyword researched a total of 1 time by 1 anonymous user","asset collections",,,1,"Apr 18, 2023",1,1,
"/discover/account/detail/a981558f2193f53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Compassion International","United States - ci.org","1 keyword researched a total of 2 times by 1 anonymous user","content hub",,,1,"Apr 1, 2023",1,2,
"/discover/account/detail/a981558f2193f53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Compassion International","United States - ci.org","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",,,1,"Mar 30, 2023",1,1,
"/discover/account/detail/a981558f2193f53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Compassion International","United States - ci.org","1 keyword researched a total of 2 times by 1 anonymous user","sitecore",,,1,"Mar 28, 2023",1,2,
"/discover/account/detail/a981558f2193f53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Compassion International","United States - ci.org","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,1,1,"Mar 23, 2023",,,
"/discover/account/detail/a981558f2193f53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Compassion International","United States - ci.org","1 keyword researched a total of 1 time by 1 anonymous user","widen",,,1,"Mar 22, 2023",1,1,
"/discover/account/detail/a981558f2193f53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Compassion International","United States - ci.org","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,1,1,"Mar 21, 2023",,,
"/discover/account/detail/a981558f2193f53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Compassion International","United States - ci.org","10 pages viewed a total of 12 times by 1 Anonymous user","https://tenovos.com/, https://tenovos.com/platform/, https://tenovos.com/platform/story-management/, https://tenovos.com/resources/blog/, https://tenovos.com/user-adoption-toolkit/, https://tenovos.com/why/media-entertainment-video-dam/, https://tenovos.com/platform/story-orchestration/, https://tenovos.com/platform/cloud-infrastructure/, https://tenovos.com/resources/#guides, https://tenovos.com/resources/blog/quick-start-guide-to-dam-integrations/",10,12,1,"Mar 16, 2023",,,
"/discover/account/detail/a981558f2193f53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Compassion International","United States - ci.org","7 pages clicked a total of 14 times by 1 Anonymous user","https://tenovos.com/platform/story-management/, https://tenovos.com/platform/, https://tenovos.com/resources/#guides, https://tenovos.com/resources/blog/, https://tenovos.com/, https://tenovos.com/platform/story-orchestration/, https://tenovos.com/platform/cloud-infrastructure/",7,,1,"Mar 16, 2023",,,14
"/discover/account/detail/a981558f2193f53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Compassion International","United States - ci.org","1 keyword researched a total of 2 times by 1 anonymous user","taxonomy",,,1,"Mar 11, 2023",1,2,
"/discover/account/detail/a981558f2193f53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Compassion International","United States - ci.org","1 keyword researched a total of 1 time by 1 anonymous user","hyland",,,1,"Feb 23, 2023",1,1,
"/discover/account/detail/a981558f2193f53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Compassion International","United States - ci.org","1 keyword researched a total of 1 time by 1 anonymous user","hyland",,,1,"Feb 22, 2023",1,1,
"/discover/account/detail/a981558f2193f53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Compassion International","United States - ci.org","2 keywords researched a total of 2 times by 1 anonymous user","hyland alternatives, hyland",,,1,"Feb 15, 2023",2,2,
"/discover/account/detail/a981558f2193f53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Compassion International","United States - ci.org","1 keyword researched a total of 1 time by 1 anonymous user","hyland",,,1,"Feb 12, 2023",1,1,
"/discover/account/detail/a981558f2193f53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Compassion International","United States - ci.org","1 keyword researched a total of 1 time by 1 anonymous user","asset usage data",,,1,"Feb 9, 2023",1,1,
"/discover/account/detail/a981558f2193f53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Compassion International","United States - ci.org","1 keyword researched a total of 1 time by 1 anonymous user","hyland",,,1,"Feb 6, 2023",1,1,
