"cardURL","companyName","countryWebsite","description","detail","pagesViewed","timesViewed","numberOfPeople","date","timesClicked"
"/discover/account/detail/6df51783d4dc996/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Paul, Weiss, Rifkind, Wharton & Garrison LLP","United States - paulweiss.com","1 page viewed a total of 2 times by 2 Anonymous users","https://tenovos.com/resources/guides-dei-inclusive-metadata/",1,2,2,"Aug 1, 2023",
"/discover/account/detail/6df51783d4dc996/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Paul, Weiss, Rifkind, Wharton & Garrison LLP","United States - paulweiss.com","1 page clicked a total of 2 times by 1 Anonymous user","https://tenovos.com/resources/guides-dei-inclusive-metadata/",1,,1,"Aug 1, 2023",2
