"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed","impressions","campaigns"
"/discover/account/detail/bf089fb24687c53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cintas Corporation","United States - cintas.com","3 keywords researched a total of 3 times by 3 anonymous users","widen, pim, content delivery network",3,3,3,"Jul 4, 2023",,,,
"/discover/account/detail/bf089fb24687c53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cintas Corporation","United States - cintas.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jul 3, 2023",,,,
"/discover/account/detail/bf089fb24687c53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cintas Corporation","United States - cintas.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"Jun 29, 2023",,,,
"/discover/account/detail/bf089fb24687c53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cintas Corporation","United States - cintas.com","2 keywords researched a total of 2 times by 2 anonymous users","dam new york, smartsheet",2,2,2,"Jun 28, 2023",,,,
"/discover/account/detail/bf089fb24687c53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cintas Corporation","United States - cintas.com","2 keywords researched a total of 2 times by 2 anonymous users","dam new york, dam europe",2,2,2,"Jun 27, 2023",,,,
"/discover/account/detail/bf089fb24687c53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cintas Corporation","United States - cintas.com","1 keyword researched a total of 5 times by 5 anonymous users","dam europe",1,5,5,"Jun 26, 2023",,,,
"/discover/account/detail/bf089fb24687c53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cintas Corporation","United States - cintas.com","1 keyword researched a total of 2 times by 1 anonymous user","aem",1,2,1,"Jun 25, 2023",,,,
"/discover/account/detail/bf089fb24687c53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cintas Corporation","United States - cintas.com","1 keyword researched a total of 1 time by 1 anonymous user","Salsify",1,1,1,"Jun 23, 2023",,,,
"/discover/account/detail/bf089fb24687c53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cintas Corporation","United States - cintas.com","3 keywords researched a total of 8 times by 5 anonymous users","widen, content intelligence, marketing performance",3,8,5,"Jun 22, 2023",,,,
"/discover/account/detail/bf089fb24687c53/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Cintas Corporation","United States - cintas.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jun 21, 2023",,,,
