"cardURL","companyName","countryWebsite","description","detail","pagesViewed","timesViewed","numberOfPeople","date","keywordsResearched","timesResearched","timesClicked","impressions","campaigns"
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",,,1,"Jun 28, 2023",1,1,,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","3 keywords researched a total of 7 times by 5 anonymous users","dam europe, marketing performance, best dam",,,5,"Jun 26, 2023",3,7,,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","2 keywords researched a total of 2 times by 2 anonymous users","marketing performance, taxonomy",,,2,"Jun 23, 2023",2,2,,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","1 keyword researched a total of 2 times by 2 anonymous users","widen",,,2,"Jun 22, 2023",1,2,,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",,,1,"Jun 20, 2023",1,1,,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",,,1,"Jun 11, 2023",1,1,,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",,,1,"Jun 7, 2023",1,1,,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","2 keywords researched a total of 2 times by 2 anonymous users","dam europe, taxonomy",,,2,"Jun 6, 2023",2,2,,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",,,1,"Jun 2, 2023",1,2,,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","1 keyword researched a total of 3 times by 1 anonymous user","content hub",,,1,"May 31, 2023",1,3,,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",,,1,"May 28, 2023",1,1,,,
