"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed","timesClicked","impressions","campaigns"
"/discover/account/detail/0ff752a721b797c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Texas Instruments Incorporated","United States - ti.com","1 keyword researched a total of 11 times by 5 anonymous users","taxonomy",1,11,5,"Jun 19, 2023",,,,,
"/discover/account/detail/0ff752a721b797c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Texas Instruments Incorporated","United States - ti.com","1 keyword researched a total of 2 times by 1 anonymous user","workflow automation",1,2,1,"Jun 16, 2023",,,,,
"/discover/account/detail/0ff752a721b797c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Texas Instruments Incorporated","United States - ti.com","2 keywords researched a total of 4 times by 2 anonymous users","hyland, content hub",2,4,2,"Jun 14, 2023",,,,,
"/discover/account/detail/0ff752a721b797c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Texas Instruments Incorporated","United States - ti.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jun 7, 2023",,,,,
"/discover/account/detail/0ff752a721b797c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Texas Instruments Incorporated","United States - ti.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"Jun 6, 2023",,,,,
"/discover/account/detail/0ff752a721b797c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Texas Instruments Incorporated","United States - ti.com","1 keyword researched a total of 1 time by 1 anonymous user","pim",1,1,1,"Jun 4, 2023",,,,,
"/discover/account/detail/0ff752a721b797c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Texas Instruments Incorporated","United States - ti.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Jun 1, 2023",,,,,
"/discover/account/detail/0ff752a721b797c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Texas Instruments Incorporated","United States - ti.com","2 keywords researched a total of 9 times by 6 anonymous users","canto, taxonomy",2,9,6,"May 31, 2023",,,,,
"/discover/account/detail/0ff752a721b797c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Texas Instruments Incorporated","United States - ti.com","3 keywords researched a total of 5 times by 2 anonymous users","pim, opentext alternatives, opentext",3,5,2,"May 25, 2023",,,,,
"/discover/account/detail/0ff752a721b797c/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Texas Instruments Incorporated","United States - ti.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",1,1,1,"May 24, 2023",,,,,
