"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","pagesViewed","timesViewed","impressions","campaigns"
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","3 keywords researched a total of 4 times by 3 anonymous users","canto, marketing performance, content hub",3,4,3,"Jun 28, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","1 keyword researched a total of 1 time by 1 anonymous user","sitecore",1,1,1,"Jun 26, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Jun 24, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","2 keywords researched a total of 4 times by 4 anonymous users","widen, taxonomy",2,4,4,"Jun 22, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","1 keyword researched a total of 1 time by 1 anonymous user","opentext",1,1,1,"Jun 20, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","1 keyword researched a total of 2 times by 1 anonymous user","widen",1,2,1,"Jun 16, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","1 keyword researched a total of 1 time by 1 anonymous user","dam europe",1,1,1,"Jun 14, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","1 keyword researched a total of 1 time by 1 anonymous user","pim",1,1,1,"Jun 9, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"Jun 7, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","2 keywords researched a total of 4 times by 2 anonymous users","widen, dam europe",2,4,2,"Jun 6, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",1,1,1,"May 31, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",1,1,1,"May 30, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","1 keyword researched a total of 1 time by 1 anonymous user","aem",1,1,1,"May 19, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",1,1,1,"May 17, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","1 keyword researched a total of 1 time by 1 anonymous user","Informatica",1,1,1,"May 16, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",1,1,1,"May 12, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",1,1,1,"May 9, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","1 keyword researched a total of 2 times by 1 anonymous user","aem",1,2,1,"May 3, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",1,1,1,"Apr 28, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","1 keyword researched a total of 1 time by 1 anonymous user","intelligent content",1,1,1,"Apr 27, 2023",,,,
"/discover/account/detail/f02bb36b6f8ebd6/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Lenovo Group Ltd.","United States - lenovo.com","2 keywords researched a total of 3 times by 3 anonymous users","smartsheet, content delivery network",2,3,3,"Apr 26, 2023",,,,
