"cardURL","companyName","countryWebsite","description","detail","impressions","campaigns","date"
"/discover/account/detail/0b765651d3b8a1d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","KeHE Distributors LLC","United States - kehe.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",1,1,"Mar 2, 2023"
"/discover/account/detail/0b765651d3b8a1d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","KeHE Distributors LLC","United States - kehe.com","4 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",4,1,"Mar 1, 2023"
"/discover/account/detail/0b765651d3b8a1d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","KeHE Distributors LLC","United States - kehe.com","5 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",5,1,"Feb 28, 2023"
"/discover/account/detail/0b765651d3b8a1d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","KeHE Distributors LLC","United States - kehe.com","10 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",10,1,"Feb 27, 2023"
"/discover/account/detail/0b765651d3b8a1d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","KeHE Distributors LLC","United States - kehe.com","13 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",13,1,"Feb 24, 2023"
"/discover/account/detail/0b765651d3b8a1d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","KeHE Distributors LLC","United States - kehe.com","8 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",8,1,"Feb 23, 2023"
"/discover/account/detail/0b765651d3b8a1d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","KeHE Distributors LLC","United States - kehe.com","4 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",4,1,"Feb 22, 2023"
"/discover/account/detail/0b765651d3b8a1d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","KeHE Distributors LLC","United States - kehe.com","17 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",17,1,"Feb 21, 2023"
"/discover/account/detail/0b765651d3b8a1d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","KeHE Distributors LLC","United States - kehe.com","10 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",10,1,"Feb 20, 2023"
"/discover/account/detail/0b765651d3b8a1d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","KeHE Distributors LLC","United States - kehe.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",1,1,"Feb 18, 2023"
"/discover/account/detail/0b765651d3b8a1d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","KeHE Distributors LLC","United States - kehe.com","7 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",7,1,"Feb 17, 2023"
"/discover/account/detail/0b765651d3b8a1d/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","KeHE Distributors LLC","United States - kehe.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",1,1,"Feb 16, 2023"
