"cardURL","companyName","countryWebsite","description","detail","impressions","campaigns","date"
"/discover/account/detail/f21c34408a6576f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","ON Semiconductor Corporation","United States - onsemi.com","2 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",2,1,"Mar 2, 2023"
"/discover/account/detail/f21c34408a6576f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","ON Semiconductor Corporation","United States - onsemi.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",1,1,"Mar 1, 2023"
"/discover/account/detail/f21c34408a6576f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","ON Semiconductor Corporation","United States - onsemi.com","6 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",6,1,"Feb 28, 2023"
"/discover/account/detail/f21c34408a6576f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","ON Semiconductor Corporation","United States - onsemi.com","3 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",3,1,"Feb 27, 2023"
"/discover/account/detail/f21c34408a6576f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","ON Semiconductor Corporation","United States - onsemi.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",1,1,"Feb 25, 2023"
"/discover/account/detail/f21c34408a6576f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","ON Semiconductor Corporation","United States - onsemi.com","4 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",4,1,"Feb 24, 2023"
"/discover/account/detail/f21c34408a6576f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","ON Semiconductor Corporation","United States - onsemi.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",1,1,"Feb 23, 2023"
"/discover/account/detail/f21c34408a6576f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","ON Semiconductor Corporation","United States - onsemi.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",1,1,"Feb 22, 2023"
"/discover/account/detail/f21c34408a6576f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","ON Semiconductor Corporation","United States - onsemi.com","3 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",3,1,"Feb 21, 2023"
"/discover/account/detail/f21c34408a6576f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","ON Semiconductor Corporation","United States - onsemi.com","2 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",2,1,"Feb 20, 2023"
"/discover/account/detail/f21c34408a6576f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","ON Semiconductor Corporation","United States - onsemi.com","1 Media Impression in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",1,1,"Feb 18, 2023"
"/discover/account/detail/f21c34408a6576f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","ON Semiconductor Corporation","United States - onsemi.com","2 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",2,1,"Feb 17, 2023"
"/discover/account/detail/f21c34408a6576f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","ON Semiconductor Corporation","United States - onsemi.com","2 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",2,1,"Feb 16, 2023"
"/discover/account/detail/f21c34408a6576f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","ON Semiconductor Corporation","United States - onsemi.com","4 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",4,1,"Feb 15, 2023"
